# [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5],frequency [Hz]
2.3795804948978202e-05,615.5961014639646
2.463477143313124e-05,611.4601791449858
2.4629583263102222e-05,608.4183634347229
2.4622148097232895e-05,607.1640619913446
2.4610508498241916e-05,604.5237149504185
2.460478942634446e-05,600.8659917664368
2.4596401724435286e-05,597.5237500059328
2.4594075621558273e-05,595.2199926734908
2.5473961514714722e-05,592.2549430048688
2.4582970274675305e-05,590.6172241513475
2.5477575200889506e-05,588.0251385751153
2.6404270037941098e-05,585.8544191896749
2.6406899457327793e-05,583.5852944819783
2.5481920317328367e-05,581.3696128973214
2.640523763162016e-05,578.6408721640868
2.4576709225553025e-05,576.6516936930773
2.5473659581820204e-05,575.480827395388
2.5476080960976057e-05,571.8814192751046
2.5446548896848512e-05,568.4345001238138
2.542809871483923e-05,566.4297778278857
2.544018645470531e-05,565.1750848213201
2.6357427317499502e-05,561.0230295937213
2.5433164694232964e-05,559.6375607754503
2.541776438090433e-05,556.5636592111064
2.6342274644443536e-05,554.7718757938444
2.6325935785749792e-05,552.4419625382452
2.631575428007343e-05,551.5880309731905
2.726331513931457e-05,548.573786153527
2.7254564226884497e-05,545.9973056557833
2.7235623602973892e-05,543.869037713123
2.8203713850635976e-05,541.555694806508
2.7201502438459916e-05,539.6660653140389
2.7194363694228645e-05,537.6662898494302
2.8180392549182753e-05,536.5943489092112
2.8173536305167372e-05,533.2952770512968
2.53131995103107e-05,532.1490774008672
2.918217263909735e-05,528.5556848740847
2.52965341360889e-05,527.6512410652011
2.619819239969733e-05,523.8350559397928
2.6186048734681366e-05,523.0402756282629
2.6180079021102e-05,521.0074570948017
2.617319270630499e-05,519.135476625574
2.8103655370295673e-05,517.527500785214
2.71119036138521e-05,514.8792728349139
2.7116426508008994e-05,513.8404718522413
2.809878947943551e-05,510.59370788195196
2.809879017393634e-05,509.13458674381883
2.809570676328321e-05,507.7271677244014
2.8092110492450443e-05,506.25729442828276
2.8085538562844447e-05,504.0129583256506
2.807538021216554e-05,501.8125364380445
2.9087901783851847e-05,500.5976494422825
2.9078305290882745e-05,499.3336907896665
2.906733049013407e-05,496.908758432059
2.906791644206307e-05,496.24418258422173
3.0116014298825983e-05,493.7116759959291
3.0107618197931022e-05,491.7972053678681
3.0108485398563653e-05,490.5984876236458
3.0108997054019324e-05,489.1923028587877
3.010532544067273e-05,487.3695579511428
3.0102737346205256e-05,485.8728702087668
