time,x [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5]
0.905,1.0581962103531228e-05
0.906,1.0585732551624983e-05
0.907,1.0222413538487204e-05
0.908,9.521510466613997e-06
0.909,8.87335952712747e-06
0.91,9.199429129435223e-06
0.911,9.538871687191203e-06
0.912,1.1399456907041425e-05
0.913,1.1005940010800224e-05
0.914,1.0253141284109015e-05
0.915,9.897766949291878e-06
0.916,1.0262722502418829e-05
0.917,1.1424021423654159e-05
0.918,1.1842915798764383e-05
0.919,1.272010682846334e-05
0.92,1.185012128168039e-05
0.921,1.228204127734722e-05
0.922,1.1856127276515117e-05
0.923,1.1440712650754854e-05
0.924,1.1445602237409098e-05
0.925,1.1865073493291952e-05
0.926,1.320791979328478e-05
0.927,1.2746245538542462e-05
0.928,1.1874334182783378e-05
0.929,1.230968372624913e-05
0.93,1.2759410687990254e-05
0.931,1.3225591392834295e-05
0.932,1.3227533151107946e-05
0.933,1.3230415676014297e-05
0.934,1.276719700183789e-05
0.935,1.2772678201371745e-05
0.936,1.2774588692819239e-05
0.937,1.3239961776573186e-05
0.938,1.3241511610725304e-05
0.939,1.3244752103635368e-05
0.94,1.3249671879917042e-05
0.941,1.373513898497847e-05
0.942,1.37395888643639e-05
0.943,1.3743424624759152e-05
0.944,1.4245872375969232e-05
0.945,1.3752173066748005e-05
0.946,1.4256333615666289e-05
0.947,1.3760813038471279e-05
0.948,1.3764936164898742e-05
0.949,1.3768706610552111e-05
0.95,1.478987154218499e-05
0.951,1.5325815128393175e-05
0.952,1.42788366152325e-05
0.953,1.4278440580566606e-05
0.954,1.4284399918652655e-05
0.955,1.3301312077584224e-05
0.956,1.4290374303079903e-05
0.957,1.4295032468068559e-05
0.958,1.3797956490603313e-05
0.959,1.3318446755817223e-05
0.96,1.4307825550282837e-05
0.961,1.286084419322904e-05
0.962,1.1978294683681888e-05
0.963,1.2418824848491973e-05
0.964,1.3338106874820437e-05
0.965,1.2877240743944229e-05
0.966,1.288012632015129e-05
0.967,1.2430903662228725e-05
0.968,1.2434437629990951e-05
0.969,1.2436893508857893e-05
0.97,1.3846615258390528e-05
0.971,1.3368121031874852e-05
0.972,1.2453535062813528e-05
0.973,1.202046112509741e-05
0.974,1.2025894431858408e-05
0.975,1.2469225395988285e-05
0.976,1.2926425655792033e-05
0.977,1.439060076705869e-05
0.978,1.2937262752509181e-05
0.979,1.2051136648913693e-05
0.98,1.205314963150474e-05
0.981,1.2060400017966723e-05
0.982,1.3424059213645542e-05
0.983,1.3914304090492752e-05
0.984,1.206794302023084e-05
0.985,1.2071119448271964e-05
0.986,1.3436774537477322e-05
0.987,1.3929984386630845e-05
0.988,1.3440902423990664e-05
0.989,1.3935515469788874e-05
0.99,1.3940559258526163e-05
0.991,1.3942821127576966e-05
0.992,1.3944689194871997e-05
0.993,1.3460024577918551e-05
0.994,1.4980597542255657e-05
0.995,1.552590697279602e-05
0.996,1.4459846911409414e-05
0.997,1.4463338965918854e-05
0.998,1.6097555145919494e-05
0.999,1.4992030709153676e-05
1.0,1.499471896731624e-05
1.001,1.4997496265024389e-05
1.002,1.447496643210711e-05
1.003,1.5000967162598797e-05
1.004,1.5550083823805937e-05
1.005,1.6110695862603887e-05
1.006,1.500863033083198e-05
1.007,1.5011074438109972e-05
1.008,1.5012136770333592e-05
1.009,1.55568654435407e-05
1.01,1.5554939612123534e-05
1.011,1.6126552143032787e-05
1.012,1.5559710837099833e-05
1.013,1.5019950773891449e-05
1.014,1.6130887159252903e-05
1.015,1.6131223262299973e-05
1.016,1.502273586477832e-05
1.017,1.5569023876421273e-05
1.018,1.502527593120498e-05
1.019,1.6135736728791963e-05
1.02,1.7329080753001e-05
1.021,1.6723416630109246e-05
1.022,1.7330790210120295e-05
1.023,1.7331019619254335e-05
1.024,1.6139308470514427e-05
1.025,1.7960766317728245e-05
1.026,1.7332782356765e-05
1.027,1.7961230065034335e-05
1.028,1.733328474179965e-05
1.029,1.6140125909825255e-05
1.03,1.796243303804789e-05
1.031,1.7335262246914332e-05
1.032,1.614193155571799e-05
1.033,1.672304839134618e-05
1.034,1.733502154636681e-05
1.035,1.7334579867832232e-05
1.036,1.7960980623814915e-05
1.037,1.6728165372776677e-05
1.038,1.733227419072433e-05
1.039,1.6729635023592716e-05
1.04,1.7336927736055074e-05
1.041,1.79677068041653e-05
